iter,train_loss,val_loss,lr,tokens_per_sec,iter_ms
2350,1.842899,,1.869909e-04,19671.2,1665.79
2355,1.806591,,1.865549e-04,19678.3,1665.19
2360,1.864221,,1.861187e-04,19686.4,1664.50
2365,1.816122,,1.856822e-04,19700.3,1663.33
2370,1.840329,,1.852455e-04,19673.9,1665.55
2375,1.831263,,1.848086e-04,19667.5,1666.10
2380,1.809912,,1.843715e-04,19668.9,1665.98
2385,1.861357,,1.839342e-04,19663.1,1666.48
2390,1.820821,,1.834967e-04,19669.2,1665.96
2395,1.846781,,1.830589e-04,19675.4,1665.43
2400,1.854675,,1.826210e-04,19673.4,1665.60
2405,1.869588,,1.821829e-04,19687.2,1664.43
2410,1.862898,,1.817447e-04,19667.0,1666.14
2415,1.840099,,1.813062e-04,19673.8,1665.57
2420,1.832995,,1.808675e-04,19676.7,1665.32
2425,1.865488,,1.804287e-04,19674.2,1665.53
2430,1.790277,,1.799898e-04,19680.0,1665.04
2435,1.831780,,1.795506e-04,19662.6,1666.51
2440,1.776073,,1.791113e-04,19675.3,1665.44
2445,1.820411,,1.786719e-04,19673.8,1665.56
2450,1.849961,,1.782323e-04,19682.9,1664.79
2455,1.815820,,1.777926e-04,19680.3,1665.02
2460,1.882898,,1.773527e-04,19671.0,1665.80
2465,1.769709,,1.769127e-04,19668.1,1666.05
2470,1.887382,,1.764726e-04,19666.5,1666.18
2475,1.846639,,1.760323e-04,19671.0,1665.80
2480,1.795563,,1.755920e-04,19681.1,1664.95
2485,1.839159,,1.751515e-04,19681.0,1664.96
2490,1.855301,,1.747109e-04,19678.7,1665.15
2495,1.884631,,1.742702e-04,19683.3,1664.76
2500,1.774746,1.775035,1.738294e-04,,
2500,1.849288,,1.738294e-04,6237.5,5253.35
2505,1.844818,,1.733885e-04,19601.9,1671.68
2510,1.818400,,1.729476e-04,19669.4,1665.94
2515,1.887019,,1.725065e-04,19681.3,1664.93
2520,1.854639,,1.720654e-04,19672.9,1665.64
2525,1.797403,,1.716241e-04,19676.5,1665.33
